,clean_reviews,rating
0,slow moving aimless movie distressed drifting young man,0
1,sure wa lost flat character audience nearly half walked,0
2,attempting artiness black white clever camera angle movie disappointed became even ridiculous acting wa poor plot line almost non existent,0
3,little music anything speak,0
4,best scene movie wa gerardo trying find song keep running head,1
5,rest movie lack art charm meaning emptiness work guess empty,0
6,wasted two hour,0
7,saw movie today thought wa good effort good message kid,1
8,bit predictable,0
9,loved casting jimmy buffet science teacher,1
10,baby owl adorable,1
11,movie showed lot florida best made look appealing,1
12,song best muppets hilarious,1
13,wa cool,1
14,right case movie delivers everything almost right face,1
15,average acting main person wa low budget clearly see,0
16,review long overdue since consider tale two sister single greatest film ever made,1
17,put gem movie term screenplay cinematography acting post production editing directing aspect film making,1
18,practically perfect true masterpiece sea faux masterpiece,1
19,structure film easily tightly constructed history cinema think film something vitally important occurs every minute word content level film enough easily fill dozen film anyone right mind ask anything movie quite simply highest superlative form cinema imaginable yes film doe require rather significant amount puzzle solving piece fit together create beautiful picture short film certainly pull punch graphic far best part game number one best th game series deserves strong love insane game massive level massive unlockable character massive game waste money game kind money wasted properly actually graphic good time today graphic crap say canada fun game aye game rock buy play enjoy love pure brilliance wa flick doomed conception idea wa lame take minor character mediocre pg film make complete non sequel changing tone pg rated family movie least bit interested confirm film would unfunny generic also managed give away entire movie exaggerating every moment every plot point every joke told trailer funny even talented carrell save co star fare much better people like morgan freeman jonah hill ed helm wasted story predictable lazy real effect work presence animal integration scene worst obvious blue green screen work ever seen whatever wa cost much translate quality sure film succeeds despite perhaps obviously meagre budget glad film go obvious choice lesser film certainly would addition one lovely song ever written french cancan also boast one cutest leading lady ever grace screen hard fall head heel love girl negative insipid enough cause regret another hour life wasted front screen long whiny pointless recommend waiting future effort let one go excellent cast story line performance totally believable anne heche wa utterly convincing sam shepard portrayal gung ho marine wa sobering sat riveted tv screen give one resounding think tom hank good actor enjoyed reading book child little wa disappointed movie one character totally annoying voice give feeling fingernail chalkboard totally unnecessary train roller coaster scene wa absolutely warmth charm scene character movie totally grate nerve performance improved improvisation actor twice much worry whether delivering line well whether line good quite honestly often good often dialogue really follow one line another fit surroundings crackle unpredictable youthful energy honestly found hard follow concentrate meander badly generally great thing say worth hour time though suspense builder good cross line g pg especially liked non cliche choice parent movie could predict dialog verbatim writing movie made better selection want movie gross give chill great choice alexander nevsky great film amazing film artist one important whoever lived glad pretentious piece planned dodge stratus big shot gon na help movie maker restrained movie business qu bec,0
20,first movie given year,1
21,wa ever movie needed word mouth promote,1
22,overall film interesting thought provoking,1
23,plus wa well paced suited relatively short run time,1
24,give one look,1
25,gave,1
26,wind lion well written superbly acted,1
27,true classic,1
28,actually turned pretty decent far b list horror suspense film go,1
29,definitely worth checking,1
30,problem wa script,0
31,wa horrendous,0
32,wa nothing believable,0
33,suspense wa feeling wa frustration retarded girl,0
34,manna heaven terrific film predictable unpredictable time,1
35,scene often funny occasionally touching character evaluate life going,1
36,cast veteran actor nostalgia trip,1
37,ursula burton portrayal nun touching funny time making fun nun church,1
38,looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try,1
39,think disappointed,1
40,frankly cotton club unfaithful wa kind embarrassing watch lane gere film bad,0
41,acting wa bad dialog extremely shallow insincere,0
42,wa predictable even chick flick,0
43,politically correct,0
44,disappointing,0
45,thing really worth watching wa scenery house beautiful,1
46,love lane never seen movie lousy,0
47,hour half wish could bring back,0
48,term writing fresh bold,1
49,acting help writing along well maybe idiot savant sister could played better real joy watch,1
50,directing cinematography quite good,0
51,movie wa boring sometimes found occupied peaking paper instead watching never happened columbo movie,0
52,sometimes wa embarrassing look away,0
53,directing seems pretentious,0
54,scene oh mature neighbour girl misplace,0
55,generally line plot weaker average episode,0
56,scene debated whether sack trumpeter falsely wa accused murder pure horror really stupid,0
57,applause given prelude however,1
58,really liked,1
59,great film great director,1
60,movie edge seat made somewhat afraid go car end night,1
61,music film really nice,1
62,advise anyone go see,1
63,brilliant,1
64,,1
65,liked movie way much,1
66,problem thought actor playing villain wa low rent michael ironside,0
67,rocked world certainly must see anyone social physical outlet,1
68,however make fact overall wa tremendously boring movie,0
69,wa chemistry ben affleck sandra bullock film understand would consider even leaving wife chick supposedly wa knocked,0
70,several moment movie need excruciatingly slow moving,0
71,wa poor remake best friend wedding,0
72,great disappointment,0
73,believe actor agreed film,0
74,could stand even watch long fear losing q,0
75,guess nobody network aired dribble watched putting,0
76,imdb rating go low awful time get negative number case,0
77,saw mirrormask last night wa unsatisfactory experience,0
78,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0
79,central theme film handled ineptly stereotypically depth imagination,0
80,pretty picture world make piece work flawed core,0
81,hour half waste time following bunch pretty high schoolers whine cry life,0
82,relate hell barely understand,0
83,definitely cult classic well worth viewing sharing others,1
84,movie pure disaster story stupid editing worst seen confuses incredibly,0
85,fish badly made underwater shot repeated thousand time film,0
86,truly truly bad film,0
87,acting terrible writing worse,0
88,possible way movie could redeemed would mst k fodder,0
89,paid much,0
90,also real treat see anthony quinn playing crazy horse,1
91,wa boring,0
92,plot whatsoever,0
93,plot,0
94,horrible,0
95,worst hour half life oh gosh,0
96,walk theatre minute get relief,0
97,hate movie like,0
98,yeah movie pretty much sucked,0
99,plot storyline,0
100,go see movie bring pillow girlfriend boyfriend keep occupied,0
101,awful,0
102,think ever gone movie disliked much,0
103,wa good thing ticket cost five dollar would mad paid see crap,0
104,nobody identifies character cardboard cutout stereotype predictably reverse stereotype,0
105,bad film bad writing good actor ugly cartoon crafted paul haggis people handle anything bold stroke storytelling picture painted crayon,0
106,crash depressing little nothing provokes emotion teach nothing already know racism prejudice bad thing,0
107,still like movie empowerment woman enough movie like one,1
108,brain attempt shut part primal impulse self preservation,0
109,wa left shattered experience watching film took good two hour fully recover,0
110,movie join revenge boogeyman zombiez part hellish trinity horror film,0
111,certainly mean distinction good way,0
112,mean terrible way,0
113,film ha redeeming feature,0
114,everything appalling,0
115,artless camera work endlessly present u ugliest setting imaginable e,0
116,story beyond stupid,0
117,script wa script,0
118,kid annoying,0
119,lead man charisma free,0
120,utterly without merit level akin torture,0
121,even say torture,0
122,maybe would reasonable explanation atrocity,0
123,pleasant voyage self discovery,0
124,highly unrecommended,0
125,premise sound stupid,0
126,yes bad,0
127,nothing recommend,0
128,excellent performance,1
129,garbo showed right bat talent could carry silent era wanted see silent work netflix seem stocking,1
130,also great see renowned silent screenwriter france marion missed step going silent sound,1
131,movie suffered writing needed suspense,0
132,many close ups,0
133,movie seemed drag hero really work freedom,0
134,movie definitely average rent,0
135,love movie bad bad film way long definitely one bad one movie received wa great quality film age john wayne incredible job young movie industry screen presence shined thought even though senior actor screen think must see older john wayne film really see anyone could enjoy movie think ever seen movie half boring self indulgent piece junk probably would better director spent movie showcasing art work really noteworthy another thing really like character got punched face gallon blood would spew forth soon jamie foxx absolutely ray charles performance simply genius owns film spacek owned coal miner daughter quaid owned great ball fire,1
